;Mar24_TPC_08-02-0_HMW;Mar24_TPC_08-02-0_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
2014,626;0,004589068;-0,00954812;
2016,490;0,004842446;-0,009280967;
2018,353;0,005056831;-0,009052858;
2020,217;0,004155228;-0,009940788;
2022,081;0,003769797;-0,0103126;
2023,944;0,003956466;-0,01011236;
2025,808;0,003566983;-0,01048832;
2027,672;0,003663629;-0,0103782;
2029,535;0,00415189;-0,009876512;
2031,399;0,003799802;-0,01021523;
2033,263;0,004092534;-0,009909169;
2035,126;0,005390794;-0,008597633;
2036,990;0,00642976;-0,007545439;
2038,854;0,006254696;-0,007707323;
2040,717;0,005828318;-0,008120569;
2042,581;0,006680994;-0,00725481;
2044,445;0,007595561;-0,006327206;
2046,308;0,008604438;-0,005305342;
2048,172;0,009130899;-0,004765939;
2050,036;0,009601598;-0,004282346;
2051,899;0,01038513;-0,003485969;
2053,763;0,01089853;-0,002959767;
2055,627;0,01104799;-0,00279755;
