;Jun18_TPC_0-1-0_HMW;Jun18_TPC_0-1-0_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
1956,852;0,00945897;-0,01203675;
1958,716;0,008862506;-0,01259772;
1960,580;0,008754703;-0,01267014;
1962,443;0,008800204;-0,01258936;
1964,307;0,007887026;-0,01346735;
1966,171;0,007241071;-0,01407822;
1968,034;0,006700683;-0,01458362;
1969,898;0,006138066;-0,01511135;
1971,762;0,005934407;-0,01528023;
1973,625;0,005831142;-0,0153488;
1975,489;0,00506492;-0,01608044;
1977,353;0,00489995;-0,01621091;
1979,216;0,005730938;-0,01534553;
1981,080;0,006980725;-0,01406145;
1982,944;0,007674072;-0,0133339;
1984,807;0,008118102;-0,01285576;
1986,671;0,008276201;-0,01266365;
1988,535;0,008494669;-0,01241127;
1990,398;0,008545066;-0,01232706;
1992,262;0,008361819;-0,01247658;
1994,126;0,008688488;-0,01211628;
1995,989;0,009420385;-0,01135085;
1997,853;0,009251398;-0,0114864;
1999,717;0,008917436;-0,01178701;
2001,580;0,008443543;-0,01222765;
2003,444;0,007709507;-0,01292852;
2005,308;0,006494212;-0,01411075;
2007,171;0,006207545;-0,01436444;
2009,035;0,006583334;-0,01395577;
2010,899;0,006761909;-0,0137444;
2012,762;0,006295032;-0,01417857;
2014,626;0,005945465;-0,01449553;
2016,490;0,005944305;-0,01446416;
2018,353;0,005085918;-0,01529012;
2020,217;0,003732881;-0,01661081;
2022,081;0,003865508;-0,01644594;
2023,944;0,004681443;-0,01559784;
2025,808;0,005012301;-0,0152349;
2027,672;0,00474517;-0,01547005;
2029,535;0,005387902;-0,01479542;
2031,399;0,006121275;-0,01403023;
2033,263;0,006910751;-0,01320903;
2035,126;0,006872705;-0,01321544;
2036,990;0,006256591;-0,01380001;
2038,854;0,006761776;-0,01326336;
2040,717;0,00836335;-0,01163041;
2042,581;0,008843564;-0,0111189;
2044,445;0,008554888;-0,01137638;
2046,308;0,00903044;-0,0108697;
2048,172;0,01036377;-0,009505335;
2050,036;0,01163751;-0,008200649;
2051,899;0,01226874;-0,007538551;
2053,763;0,01272809;-0,007048415;
2055,627;0,01326339;-0,006482419;
2057,490;0,01342206;-0,00629314;
